Timestamp,Temp,Hum (%),Voltage (V),Current (Amp),Vibration (Vib)
2/13/2023,24,39.7,28.02,1.75,9.38
2/13/2023,23.3,40.1,22.5,1.39,9.77
2/13/2023,24.3,38.7,22.47,1.23,10.27
2/13/2023,24.3,38.8,22.79,1.17,9.33
2/13/2023,24.2,38.5,23.92,1.24,9.84
2/13/2023,24.1,38.8,22.59,1.08,9.82
2/13/2023,24,38.8,23.33,1.3,9.92
2/13/2023,24,39,27.53,1.1,9.92
2/13/2023,24.1,39.1,22.84,1.21,9.97
2/13/2023,24.1,39,26.86,1.18,9.54
2/13/2023,24.1,39.1,27.07,1.25,9.67
2/13/2023,24.1,39.1,26.62,1.22,10.19
2/13/2023,24.1,39,20.05,1.01,10.39
2/13/2023,24,39.2,24.99,1.17,9.82
2/13/2023,24,39.1,24.1,1.16,10.2
2/13/2023,24,39,35.52,1.65,9.48
2/13/2023,24,39,38.3,1.26,10.12
2/13/2023,24,39,25.84,1.24,9.99
2/13/2023,24,38.9,24.92,0.93,10.26
2/13/2023,24,39.2,26.62,1.31,9.69
2/13/2023,23.9,39.2,29.09,1.19,9.45
2/13/2023,23.9,39.1,29.47,1.41,9.96
2/13/2023,23.9,39.1,25.59,1.2,9.25
2/13/2023,24,38.9,32.7,1.35,9.75
2/13/2023,23.8,39.4,22.5,1.61,10.68
2/13/2023,23.7,39.6,46,1.56,10.19
2/13/2023,23.6,39.6,49.41,1.72,9.85
2/13/2023,23.4,39.9,48.81,1.58,9.35
2/13/2023,23.2,40.5,42.89,1.55,9.73
2/13/2023,22.7,41,43.49,1.57,9.74
2/13/2023,22.5,41.1,22.5,1.67,9.76
2/13/2023,23.8,39.7,41.57,1.66,9.7
2/13/2023,23.7,40,22.5,1.39,9.76
2/13/2023,23.7,39.2,37.8,1.69,9.97
2/13/2023,23.7,39.2,44.18,1.95,10.17
2/13/2023,23.7,39.2,42.44,1.92,9.52
2/13/2023,23.8,39.4,42.18,1.96,9.28
2/13/2023,23.8,39.2,37.7,1.86,10.15
2/13/2023,23.9,39.4,36.44,1.87,9.49
2/13/2023,23.8,39.3,25.2,1.78,9.35
2/13/2023,23.8,39.4,26.22,1.57,9.41
2/13/2023,23.8,39.4,21.87,1.84,9.71
2/13/2023,23.8,39.4,21.89,1.82,10.02
2/13/2023,23.8,39.5,26.06,1.76,9.73
2/13/2023,23.9,39.1,22.28,1.82,9.44
2/13/2023,23.9,39.1,22.5,2.04,10.03
2/13/2023,23.9,38.9,36.77,2.06,10.35
2/13/2023,23.9,38.9,36.11,1.9,12.61
2/13/2023,23.9,38.9,38.34,2,9.86
2/13/2023,23.9,39.1,39.12,2.07,9.18
2/13/2023,23.9,39,40.36,2.07,9.68
2/13/2023,23.8,39.1,35.44,1.98,9.79
2/13/2023,23.7,39.1,35.85,1.87,10.63
2/13/2023,23.7,39.1,35.5,1.89,9.38
2/13/2023,23.9,38.9,36.16,1.99,9.82
2/13/2023,23.9,38.9,35.13,1.96,9.78
2/13/2023,23.9,38.9,39.23,1.81,9.95
2/13/2023,23.9,39,37.77,2.21,10.15
2/13/2023,23.9,39,38.47,1.92,9.97
2/13/2023,24,38.8,35.69,1.83,10.33
2/13/2023,24,38.6,34.36,1.83,9.56
2/13/2023,24,38.5,41.08,2.1,9.09
2/13/2023,24,38.7,27.99,1.23,9.42
2/13/2023,24,38.8,26.04,1.37,9.65
2/13/2023,24.1,38.7,26.81,1.55,9.84
2/13/2023,24.1,38.7,27.86,1.61,10.13
2/13/2023,24,40.3,24.81,1.47,10.23
2/13/2023,23.9,39.1,26.87,1.86,9.24
2/13/2023,23.9,39.1,16.21,1.35,9.54
2/13/2023,23.9,39.2,24.55,1.91,10.12
2/13/2023,24,38.9,25.01,1.68,9.69
2/13/2023,23.9,38.8,16.77,1.26,10.32
2/13/2023,23.9,38.8,23.11,1.5,9.82
2/13/2023,23.9,38.8,27.02,1.94,10.01
2/13/2023,24,38.8,25.63,2.07,9.12
2/13/2023,23.9,38.9,28.06,2.16,9.42
2/13/2023,23.9,39,45.5,2.29,9.78
2/13/2023,24,38.8,46.17,2.25,10.01
2/13/2023,24,38.9,47.16,2.58,9.75
2/13/2023,24,38.9,47.04,2.5,10.21
2/13/2023,23.9,39.1,46.74,2.43,9.62
2/13/2023,23.9,39.1,47.95,2.2,10.23
2/13/2023,23.8,39.3,40.79,2.06,10.04
2/13/2023,23.9,39.3,43.14,2.03,9.12
2/13/2023,23.9,39.3,33.05,1.67,9.04
2/13/2023,23.9,39.2,43.35,2.15,9.84
2/13/2023,23.9,39.1,40.82,2.44,9.69
2/13/2023,23.9,39,76,2.52,10.41
2/13/2023,23.9,39.4,27.04,5.51,10.19
2/13/2023,23.9,39.3,26.21,6,9.89
2/13/2023,23.9,39.3,28.06,6,9.32
2/13/2023,23.9,39.3,27.88,6,10.48
2/13/2023,23.9,39.3,28.75,6,10.18
2/13/2023,23.9,39.3,28.08,6,9.43
2/13/2023,23.9,39.3,28.57,6,9.52
2/13/2023,23.9,39.2,26.43,6,9.54
2/13/2023,23.9,39.3,25.53,6,9.48
2/13/2023,23.9,39.3,29.81,6,9.74
2/13/2023,24,39.7,28.02,1.75,9.38
2/13/2023,24,39.7,28.02,1.75,9.38
2/13/2023,24,39.7,28.02,1.75,9.38
2/13/2023,24,39.7,28.02,1.75,9.38
2/13/2023,24,39.7,28.02,1.75,9.38
2/13/2023,24,39.7,28.02,1.75,9.38
2/13/2023,24,39.7,28.02,1.75,9.38
2/13/2023,24,39.7,28.02,1.75,9.38
2/13/2023,23.3,40.1,22.5,1.39,9.77
2/13/2023,23.3,40.1,22.5,1.39,9.77
2/13/2023,23.3,40.1,22.5,1.39,9.77
2/13/2023,23.3,40.1,22.5,1.39,9.77
2/13/2023,23.3,40.1,22.5,1.39,9.77
2/13/2023,23.3,40.1,22.5,1.39,9.77
2/13/2023,23.3,40.1,22.5,1.39,9.77
2/13/2023,23.3,40.1,22.5,1.39,9.77
2/13/2023,24.3,38.7,22.47,1.23,10.27
2/13/2023,24.3,38.7,22.47,1.23,10.27
2/13/2023,24.3,38.7,22.47,1.23,10.27
2/13/2023,24.3,38.7,22.47,1.23,10.27
2/13/2023,24.3,38.7,22.47,1.23,10.27
2/13/2023,24.3,38.7,22.47,1.23,10.27
2/13/2023,24.3,38.7,22.47,1.23,10.27
2/13/2023,24.3,38.7,22.47,1.23,10.27
2/13/2023,24.3,38.8,22.79,1.17,9.33
2/13/2023,24.3,38.8,22.79,1.17,9.33
2/13/2023,24.3,38.8,22.79,1.17,9.33
2/13/2023,24.3,38.8,22.79,1.17,9.33
2/13/2023,24.3,38.8,22.79,1.17,9.33
2/13/2023,24.3,38.8,22.79,1.17,9.33
2/13/2023,24.3,38.8,22.79,1.17,9.33
2/13/2023,24.3,38.8,22.79,1.17,9.33
2/13/2023,24.2,38.5,23.92,1.24,9.84
2/13/2023,24.2,38.5,23.92,1.24,9.84
2/13/2023,24.2,38.5,23.92,1.24,9.84
2/13/2023,24.2,38.5,23.92,1.24,9.84
2/13/2023,24.2,38.5,23.92,1.24,9.84
2/13/2023,24.2,38.5,23.92,1.24,9.84
2/13/2023,24.2,38.5,23.92,1.24,9.84
2/13/2023,24.2,38.5,23.92,1.24,9.84
2/13/2023,24.1,38.8,22.59,1.08,9.82
2/13/2023,24.1,38.8,22.59,1.08,9.82
2/13/2023,24.1,38.8,22.59,1.08,9.82
2/13/2023,24.1,38.8,22.59,1.08,9.82
2/13/2023,24.1,38.8,22.59,1.08,9.82
2/13/2023,24.1,38.8,22.59,1.08,9.82
2/13/2023,24.1,38.8,22.59,1.08,9.82
2/13/2023,24.1,38.8,22.59,1.08,9.82
2/13/2023,24,38.8,23.33,1.3,9.92
2/13/2023,24,38.8,23.33,1.3,9.92
2/13/2023,24,38.8,23.33,1.3,9.92
2/13/2023,24,38.8,23.33,1.3,9.92
2/13/2023,24,38.8,23.33,1.3,9.92
2/13/2023,24,38.8,23.33,1.3,9.92
2/13/2023,24,38.8,23.33,1.3,9.92
2/13/2023,24,38.8,23.33,1.3,9.92
2/13/2023,24,39,27.53,1.1,9.92
2/13/2023,24,39,27.53,1.1,9.92
2/13/2023,24,39,27.53,1.1,9.92
2/13/2023,24,39,27.53,1.1,9.92
2/13/2023,24,39,27.53,1.1,9.92
2/13/2023,24,39,27.53,1.1,9.92
2/13/2023,24,39,27.53,1.1,9.92
2/13/2023,24,39,27.53,1.1,9.92
2/13/2023,24.1,39.1,22.84,1.21,9.97
2/13/2023,24.1,39.1,22.84,1.21,9.97
2/13/2023,24.1,39.1,22.84,1.21,9.97
2/13/2023,24.1,39.1,22.84,1.21,9.97
2/13/2023,24.1,39.1,22.84,1.21,9.97
2/13/2023,24.1,39.1,22.84,1.21,9.97
2/13/2023,24.1,39.1,22.84,1.21,9.97
2/13/2023,24.1,39.1,22.84,1.21,9.97
2/13/2023,24.1,39,26.86,1.18,9.54
2/13/2023,24.1,39,26.86,1.18,9.54
2/13/2023,24.1,39,26.86,1.18,9.54
2/13/2023,24.1,39,26.86,1.18,9.54
2/13/2023,24.1,39,26.86,1.18,9.54
2/13/2023,24.1,39,26.86,1.18,9.54
2/13/2023,24.1,39,26.86,1.18,9.54
2/13/2023,24.1,39,26.86,1.18,9.54
2/13/2023,24.1,39.1,27.07,1.25,9.67
2/13/2023,24.1,39.1,27.07,1.25,9.67
2/13/2023,24.1,39.1,27.07,1.25,9.67
2/13/2023,24.1,39.1,27.07,1.25,9.67
2/13/2023,24.1,39.1,27.07,1.25,9.67
2/13/2023,24.1,39.1,27.07,1.25,9.67
2/13/2023,24.1,39.1,27.07,1.25,9.67
2/13/2023,24.1,39.1,27.07,1.25,9.67
2/13/2023,24.1,39.1,26.62,1.22,10.19
2/13/2023,24.1,39.1,26.62,1.22,10.19
2/13/2023,24.1,39.1,26.62,1.22,10.19
2/13/2023,24.1,39.1,26.62,1.22,10.19
2/13/2023,24.1,39.1,26.62,1.22,10.19
2/13/2023,24.1,39.1,26.62,1.22,10.19
2/13/2023,24.1,39.1,26.62,1.22,10.19
2/13/2023,24.1,39.1,26.62,1.22,10.19
2/13/2023,24.1,39,20.05,1.01,10.39
2/13/2023,24.1,39,20.05,1.01,10.39
2/13/2023,24.1,39,20.05,1.01,10.39
2/13/2023,24.1,39,20.05,1.01,10.39
2/13/2023,24.1,39,20.05,1.01,10.39
2/13/2023,24.1,39,20.05,1.01,10.39
2/13/2023,24.1,39,20.05,1.01,10.39
2/13/2023,24.1,39,20.05,1.01,10.39
2/13/2023,24,39.2,24.99,1.17,9.82
2/13/2023,24,39.2,24.99,1.17,9.82
2/13/2023,24,39.2,24.99,1.17,9.82
2/13/2023,24,39.2,24.99,1.17,9.82
2/13/2023,24,39.2,24.99,1.17,9.82
2/13/2023,24,39.2,24.99,1.17,9.82
2/13/2023,24,39.2,24.99,1.17,9.82
2/13/2023,24,39.2,24.99,1.17,9.82
2/13/2023,24,39.1,24.1,1.16,10.2
2/13/2023,24,39.1,24.1,1.16,10.2
2/13/2023,24,39.1,24.1,1.16,10.2
2/13/2023,24,39.1,24.1,1.16,10.2
2/13/2023,24,39.1,24.1,1.16,10.2
2/13/2023,24,39.1,24.1,1.16,10.2
2/13/2023,24,39.1,24.1,1.16,10.2
2/13/2023,24,39.1,24.1,1.16,10.2
2/13/2023,24,39,35.52,1.65,9.48
2/13/2023,24,39,35.52,1.65,9.48
2/13/2023,24,39,35.52,1.65,9.48
2/13/2023,24,39,35.52,1.65,9.48
2/13/2023,24,39,35.52,1.65,9.48
2/13/2023,24,39,35.52,1.65,9.48
2/13/2023,24,39,35.52,1.65,9.48
2/13/2023,24,39,35.52,1.65,9.48
2/13/2023,24,39,38.3,1.26,10.12
2/13/2023,24,39,38.3,1.26,10.12
2/13/2023,24,39,38.3,1.26,10.12
2/13/2023,24,39,38.3,1.26,10.12
2/13/2023,24,39,38.3,1.26,10.12
2/13/2023,24,39,38.3,1.26,10.12
2/13/2023,24,39,38.3,1.26,10.12
2/13/2023,24,39,38.3,1.26,10.12
2/13/2023,24,39,25.84,1.24,9.99
2/13/2023,24,39,25.84,1.24,9.99
2/13/2023,24,39,25.84,1.24,9.99
2/13/2023,24,39,25.84,1.24,9.99
2/13/2023,24,39,25.84,1.24,9.99
2/13/2023,24,39,25.84,1.24,9.99
2/13/2023,24,39,25.84,1.24,9.99
2/13/2023,24,39,25.84,1.24,9.99
2/13/2023,24,38.9,24.92,0.93,10.26
2/13/2023,24,38.9,24.92,0.93,10.26
2/13/2023,24,38.9,24.92,0.93,10.26
2/13/2023,24,38.9,24.92,0.93,10.26
2/13/2023,24,38.9,24.92,0.93,10.26
2/13/2023,24,38.9,24.92,0.93,10.26
2/13/2023,24,38.9,24.92,0.93,10.26
2/13/2023,24,38.9,24.92,0.93,10.26
2/13/2023,24,39.2,26.62,1.31,9.69
2/13/2023,24,39.2,26.62,1.31,9.69
2/13/2023,24,39.2,26.62,1.31,9.69
2/13/2023,24,39.2,26.62,1.31,9.69
2/13/2023,24,39.2,26.62,1.31,9.69
2/13/2023,24,39.2,26.62,1.31,9.69
2/13/2023,24,39.2,26.62,1.31,9.69
2/13/2023,24,39.2,26.62,1.31,9.69
2/13/2023,23.9,39.2,29.09,1.19,9.45
2/13/2023,23.9,39.2,29.09,1.19,9.45
2/13/2023,23.9,39.2,29.09,1.19,9.45
2/13/2023,23.9,39.2,29.09,1.19,9.45
2/13/2023,23.9,39.2,29.09,1.19,9.45
2/13/2023,23.9,39.2,29.09,1.19,9.45
2/13/2023,23.9,39.2,29.09,1.19,9.45
2/13/2023,23.9,39.2,29.09,1.19,9.45
2/13/2023,23.9,39.1,29.47,1.41,9.96
2/13/2023,23.9,39.1,29.47,1.41,9.96
2/13/2023,23.9,39.1,29.47,1.41,9.96
2/13/2023,23.9,39.1,29.47,1.41,9.96
2/13/2023,23.9,39.1,29.47,1.41,9.96
2/13/2023,23.9,39.1,29.47,1.41,9.96
2/13/2023,23.9,39.1,29.47,1.41,9.96
2/13/2023,23.9,39.1,29.47,1.41,9.96
2/13/2023,23.9,39.1,25.59,1.2,9.25
2/13/2023,23.9,39.1,25.59,1.2,9.25
2/13/2023,23.9,39.1,25.59,1.2,9.25
2/13/2023,23.9,39.1,25.59,1.2,9.25
2/13/2023,23.9,39.1,25.59,1.2,9.25
2/13/2023,23.9,39.1,25.59,1.2,9.25
2/13/2023,23.9,39.1,25.59,1.2,9.25
2/13/2023,23.9,39.1,25.59,1.2,9.25
2/13/2023,24,38.9,32.7,1.35,9.75
2/13/2023,24,38.9,32.7,1.35,9.75
2/13/2023,24,38.9,32.7,1.35,9.75
2/13/2023,24,38.9,32.7,1.35,9.75
2/13/2023,24,38.9,32.7,1.35,9.75
2/13/2023,24,38.9,32.7,1.35,9.75
2/13/2023,24,38.9,32.7,1.35,9.75
2/13/2023,24,38.9,32.7,1.35,9.75
2/13/2023,23.8,39.4,60.93,1.61,10.68
2/13/2023,23.8,39.4,60.93,1.61,10.68
2/13/2023,23.8,39.4,60.93,1.61,10.68
2/13/2023,23.8,39.4,60.93,1.61,10.68
2/13/2023,23.8,39.4,60.93,1.61,10.68
2/13/2023,23.8,39.4,60.93,1.61,10.68
2/13/2023,23.8,39.4,60.93,1.61,10.68
2/13/2023,23.8,39.4,60.93,1.61,10.68
2/13/2023,23.7,39.6,46,1.56,10.19
2/13/2023,23.7,39.6,46,1.56,10.19
2/13/2023,23.7,39.6,46,1.56,10.19
2/13/2023,23.7,39.6,46,1.56,10.19
2/13/2023,23.7,39.6,46,1.56,10.19
2/13/2023,23.7,39.6,46,1.56,10.19
2/13/2023,23.7,39.6,46,1.56,10.19
2/13/2023,23.7,39.6,46,1.56,10.19
2/13/2023,23.6,39.6,49.41,1.72,9.85
2/13/2023,23.6,39.6,49.41,1.72,9.85
2/13/2023,23.6,39.6,49.41,1.72,9.85
2/13/2023,23.6,39.6,49.41,1.72,9.85
2/13/2023,23.6,39.6,49.41,1.72,9.85
2/13/2023,23.6,39.6,49.41,1.72,9.85
2/13/2023,23.6,39.6,49.41,1.72,9.85
2/13/2023,23.6,39.6,49.41,1.72,9.85
2/13/2023,23.4,39.9,48.81,1.58,9.35
2/13/2023,23.4,39.9,48.81,1.58,9.35
2/13/2023,23.4,39.9,48.81,1.58,9.35
2/13/2023,23.4,39.9,48.81,1.58,9.35
2/13/2023,23.4,39.9,48.81,1.58,9.35
2/13/2023,23.4,39.9,48.81,1.58,9.35
2/13/2023,23.4,39.9,48.81,1.58,9.35
2/13/2023,23.4,39.9,48.81,1.58,9.35
2/13/2023,23.2,40.5,42.89,1.55,9.73
2/13/2023,23.2,40.5,42.89,1.55,9.73
2/13/2023,23.2,40.5,42.89,1.55,9.73
2/13/2023,23.2,40.5,42.89,1.55,9.73
2/13/2023,23.2,40.5,42.89,1.55,9.73
2/13/2023,23.2,40.5,42.89,1.55,9.73
2/13/2023,23.2,40.5,42.89,1.55,9.73
2/13/2023,23.2,40.5,42.89,1.55,9.73
2/13/2023,22.7,41,43.49,1.57,9.74
2/13/2023,22.7,41,43.49,1.57,9.74
2/13/2023,22.7,41,43.49,1.57,9.74
2/13/2023,22.7,41,43.49,1.57,9.74
2/13/2023,22.7,41,43.49,1.57,9.74
2/13/2023,22.7,41,43.49,1.57,9.74
2/13/2023,22.7,41,43.49,1.57,9.74
2/13/2023,22.7,41,43.49,1.57,9.74
2/13/2023,22.5,41.1,55.75,1.67,9.76
2/13/2023,22.5,41.1,55.75,1.67,9.76
2/13/2023,22.5,41.1,55.75,1.67,9.76
2/13/2023,22.5,41.1,55.75,1.67,9.76
2/13/2023,22.5,41.1,55.75,1.67,9.76
2/13/2023,22.5,41.1,55.75,1.67,9.76
2/13/2023,22.5,41.1,55.75,1.67,9.76
2/13/2023,22.5,41.1,55.75,1.67,9.76
2/13/2023,23.8,39.7,41.57,1.66,9.7
2/13/2023,23.8,39.7,41.57,1.66,9.7
2/13/2023,23.8,39.7,41.57,1.66,9.7
2/13/2023,23.8,39.7,41.57,1.66,9.7
2/13/2023,23.8,39.7,41.57,1.66,9.7
2/13/2023,23.8,39.7,41.57,1.66,9.7
2/13/2023,23.8,39.7,41.57,1.66,9.7
2/13/2023,23.8,39.7,41.57,1.66,9.7
2/13/2023,23.7,40,55.82,1.39,9.76
2/13/2023,23.7,40,55.82,1.39,9.76
2/13/2023,23.7,40,55.82,1.39,9.76
2/13/2023,23.7,40,55.82,1.39,9.76
2/13/2023,23.7,40,55.82,1.39,9.76
2/13/2023,23.7,40,55.82,1.39,9.76
2/13/2023,23.7,40,55.82,1.39,9.76
2/13/2023,23.7,40,55.82,1.39,9.76
2/13/2023,23.7,39.2,37.8,1.69,9.97
2/13/2023,23.7,39.2,37.8,1.69,9.97
2/13/2023,23.7,39.2,37.8,1.69,9.97
2/13/2023,23.7,39.2,37.8,1.69,9.97
2/13/2023,23.7,39.2,37.8,1.69,9.97
2/13/2023,23.7,39.2,37.8,1.69,9.97
2/13/2023,23.7,39.2,37.8,1.69,9.97
2/13/2023,23.7,39.2,37.8,1.69,9.97
2/13/2023,23.7,39.2,44.18,1.95,10.17
2/13/2023,23.7,39.2,44.18,1.95,10.17
2/13/2023,23.7,39.2,44.18,1.95,10.17
2/13/2023,23.7,39.2,44.18,1.95,10.17
2/13/2023,23.7,39.2,44.18,1.95,10.17
2/13/2023,23.7,39.2,44.18,1.95,10.17
2/13/2023,23.7,39.2,44.18,1.95,10.17
2/13/2023,23.7,39.2,44.18,1.95,10.17
2/13/2023,23.7,39.2,42.44,1.92,9.52
2/13/2023,23.7,39.2,42.44,1.92,9.52
2/13/2023,23.7,39.2,42.44,1.92,9.52
2/13/2023,23.7,39.2,42.44,1.92,9.52
2/13/2023,23.7,39.2,42.44,1.92,9.52
2/13/2023,23.7,39.2,42.44,1.92,9.52
2/13/2023,23.7,39.2,42.44,1.92,9.52
2/13/2023,23.7,39.2,42.44,1.92,9.52
2/13/2023,23.8,39.4,42.18,1.96,9.28
2/13/2023,23.8,39.4,42.18,1.96,9.28
2/13/2023,23.8,39.4,42.18,1.96,9.28
2/13/2023,23.8,39.4,42.18,1.96,9.28
2/13/2023,23.8,39.4,42.18,1.96,9.28
2/13/2023,23.8,39.4,42.18,1.96,9.28
2/13/2023,23.8,39.4,42.18,1.96,9.28
2/13/2023,23.8,39.4,42.18,1.96,9.28
2/13/2023,23.8,39.2,37.7,1.86,10.15
2/13/2023,23.8,39.2,37.7,1.86,10.15
2/13/2023,23.8,39.2,37.7,1.86,10.15
2/13/2023,23.8,39.2,37.7,1.86,10.15
2/13/2023,23.8,39.2,37.7,1.86,10.15
2/13/2023,23.8,39.2,37.7,1.86,10.15
2/13/2023,23.8,39.2,37.7,1.86,10.15
2/13/2023,23.8,39.2,37.7,1.86,10.15
2/13/2023,23.9,39.4,36.44,1.87,9.49
2/13/2023,23.9,39.4,36.44,1.87,9.49
2/13/2023,23.9,39.4,36.44,1.87,9.49
2/13/2023,23.9,39.4,36.44,1.87,9.49
2/13/2023,23.9,39.4,36.44,1.87,9.49
2/13/2023,23.9,39.4,36.44,1.87,9.49
2/13/2023,23.9,39.4,36.44,1.87,9.49
2/13/2023,23.9,39.4,36.44,1.87,9.49
2/13/2023,23.8,39.3,25.2,1.78,9.35
2/13/2023,23.8,39.3,25.2,1.78,9.35
2/13/2023,23.8,39.3,25.2,1.78,9.35
2/13/2023,23.8,39.3,25.2,1.78,9.35
2/13/2023,23.8,39.3,25.2,1.78,9.35
2/13/2023,23.8,39.3,25.2,1.78,9.35
2/13/2023,23.8,39.3,25.2,1.78,9.35
2/13/2023,23.8,39.3,25.2,1.78,9.35
2/13/2023,23.8,39.4,26.22,1.57,9.41
2/13/2023,23.8,39.4,26.22,1.57,9.41
2/13/2023,23.8,39.4,26.22,1.57,9.41
2/13/2023,23.8,39.4,26.22,1.57,9.41
2/13/2023,23.8,39.4,26.22,1.57,9.41
2/13/2023,23.8,39.4,26.22,1.57,9.41
2/13/2023,23.8,39.4,26.22,1.57,9.41
2/13/2023,23.8,39.4,26.22,1.57,9.41
2/13/2023,23.8,39.4,21.87,1.84,9.71
2/13/2023,23.8,39.4,21.87,1.84,9.71
2/13/2023,23.8,39.4,21.87,1.84,9.71
2/13/2023,23.8,39.4,21.87,1.84,9.71
2/13/2023,23.8,39.4,21.87,1.84,9.71
2/13/2023,23.8,39.4,21.87,1.84,9.71
2/13/2023,23.8,39.4,21.87,1.84,9.71
2/13/2023,23.8,39.4,21.87,1.84,9.71
2/13/2023,23.8,39.4,21.89,1.82,10.02
2/13/2023,23.8,39.4,21.89,1.82,10.02
2/13/2023,23.8,39.4,21.89,1.82,10.02
2/13/2023,23.8,39.4,21.89,1.82,10.02
2/13/2023,23.8,39.4,21.89,1.82,10.02
2/13/2023,23.8,39.4,21.89,1.82,10.02
2/13/2023,23.8,39.4,21.89,1.82,10.02
2/13/2023,23.8,39.4,21.89,1.82,10.02
2/13/2023,23.8,39.5,26.06,1.76,9.73
2/13/2023,23.8,39.5,26.06,1.76,9.73
2/13/2023,23.8,39.5,26.06,1.76,9.73
2/13/2023,23.8,39.5,26.06,1.76,9.73
2/13/2023,23.8,39.5,26.06,1.76,9.73
2/13/2023,23.8,39.5,26.06,1.76,9.73
2/13/2023,23.8,39.5,26.06,1.76,9.73
2/13/2023,23.8,39.5,26.06,1.76,9.73
2/13/2023,23.9,39.1,22.28,1.82,9.44
2/13/2023,23.9,39.1,22.28,1.82,9.44
2/13/2023,23.9,39.1,22.28,1.82,9.44
2/13/2023,23.9,39.1,22.28,1.82,9.44
2/13/2023,23.9,39.1,22.28,1.82,9.44
2/13/2023,23.9,39.1,22.28,1.82,9.44
2/13/2023,23.9,39.1,22.28,1.82,9.44
2/13/2023,23.9,39.1,22.28,1.82,9.44
2/13/2023,23.9,38.9,36.77,2.06,10.35
2/13/2023,23.9,38.9,36.77,2.06,10.35
2/13/2023,23.9,38.9,36.77,2.06,10.35
2/13/2023,23.9,38.9,36.77,2.06,10.35
2/13/2023,23.9,38.9,36.77,2.06,10.35
2/13/2023,23.9,38.9,36.77,2.06,10.35
2/13/2023,23.9,38.9,36.77,2.06,10.35
2/13/2023,23.9,38.9,36.77,2.06,10.35
2/13/2023,23.9,38.9,36.11,1.9,12.61
2/13/2023,23.9,38.9,36.11,1.9,12.61
2/13/2023,23.9,38.9,36.11,1.9,12.61
2/13/2023,23.9,38.9,36.11,1.9,12.61
2/13/2023,23.9,38.9,36.11,1.9,12.61
2/13/2023,23.9,38.9,36.11,1.9,12.61
2/13/2023,23.9,38.9,36.11,1.9,12.61
2/13/2023,23.9,38.9,36.11,1.9,12.61
2/13/2023,23.9,38.9,38.34,2,9.86
2/13/2023,23.9,38.9,38.34,2,9.86
2/13/2023,23.9,38.9,38.34,2,9.86
2/13/2023,23.9,38.9,38.34,2,9.86
2/13/2023,23.9,38.9,38.34,2,9.86
2/13/2023,23.9,38.9,38.34,2,9.86
2/13/2023,23.9,38.9,38.34,2,9.86
2/13/2023,23.9,38.9,38.34,2,9.86
2/13/2023,23.9,39.1,39.12,2.07,9.18
2/13/2023,23.9,39.1,39.12,2.07,9.18
2/13/2023,23.9,39.1,39.12,2.07,9.18
2/13/2023,23.9,39.1,39.12,2.07,9.18
2/13/2023,23.9,39.1,39.12,2.07,9.18
2/13/2023,23.9,39.1,39.12,2.07,9.18
2/13/2023,23.9,39.1,39.12,2.07,9.18
2/13/2023,23.9,39.1,39.12,2.07,9.18
2/13/2023,23.9,39,40.36,2.07,9.68
2/13/2023,23.9,39,40.36,2.07,9.68
2/13/2023,23.9,39,40.36,2.07,9.68
2/13/2023,23.9,39,40.36,2.07,9.68
2/13/2023,23.9,39,40.36,2.07,9.68
2/13/2023,23.9,39,40.36,2.07,9.68
2/13/2023,23.9,39,40.36,2.07,9.68
2/13/2023,23.9,39,40.36,2.07,9.68
2/13/2023,23.8,39.1,35.44,1.98,9.79
2/13/2023,23.8,39.1,35.44,1.98,9.79
2/13/2023,23.8,39.1,35.44,1.98,9.79
